label,sentence
False,le sénateur déménagent
True,le sénateur parle
False,le sénateur parlent
False,le sénateur retournent
True,le professeur est vieux
False,le professeur sont vieux
True,le professeur est jeune
False,le professeur sont jeunes
True,le professeur est petit
False,le professeur sont petits
True,le professeur est grand
False,le professeur sont grands
False,le professeur déménagent
True,le professeur parle
False,le professeur parlent
False,le professeur retournent
True,le client est vieux
False,le client sont vieux
True,le client est jeune
False,le client sont jeunes
True,le client est petit
False,le client sont petits
True,le client est grand
False,le client sont grands
False,le client déménagent
True,le client parle
False,le client parlent
False,le client retournent
True,l' officier est vieux
False,l' officier sont vieux
True,l' officier est jeune
False,l' officier sont jeunes
True,l' officier est petit
False,l' officier sont petits
True,l' officier est grand
False,l' officier sont grands
False,l' officier déménagent
True,l' officier parle
False,l' officier parlent
False,l' officier retournent
True,le pilote est vieux
False,le pilote sont vieux
True,le pilote est jeune
False,le pilote sont jeunes
True,le pilote est petit
False,le pilote sont petits
True,le pilote est grand
False,le pilote sont grands
False,le pilote déménagent
True,le pilote parle
False,le pilote parlent
False,le pilote retournent
True,le consultant est vieux
False,le consultant sont vieux
True,le consultant est jeune
False,le consultant sont jeunes
True,le consultant est petit
False,le consultant sont petits
True,le consultant est grand
False,le consultant sont grands
False,le consultant déménagent
True,le consultant parle
False,le consultant parlent
False,le consultant retournent
True,les gardes sont vieux
False,les gardes est vieux
True,les gardes sont jeunes
False,les gardes est jeune
True,les gardes sont petits
False,les gardes est petit
True,les gardes sont grands
False,les gardes est grand
True,les gardes déménagent
True,les gardes parlent
False,les gardes parle
True,les gardes retournent
True,les ministres sont vieux
False,les ministres est vieux
True,les ministres sont jeunes
False,les ministres est jeune
True,les ministres sont petits
False,les ministres est petit
True,les ministres sont grands
False,les ministres est grand
True,les ministres déménagent
True,les ministres parlent
False,les ministres parle
True,les ministres retournent
True,les cadres sont vieux
False,les cadres est vieux
True,les cadres sont jeunes
False,les cadres est jeune
True,les cadres sont petits
False,les cadres est petit
True,les cadres sont grands
False,les cadres est grand
True,les cadres déménagent
True,les cadres parlent
False,les cadres parle
True,les cadres retournent
True,les adjoints sont vieux
False,les adjoints est vieux
True,les adjoints sont jeunes
False,les adjoints est jeune
True,les adjoints sont petits
False,les adjoints est petit
True,les adjoints sont grands
False,les adjoints est grand
True,les adjoints déménagent
True,les adjoints parlent
False,les adjoints parle
True,les adjoints retournent
True,les chauffeurs de taxi sont vieux
False,les chauffeurs de taxi est vieux
True,les chauffeurs de taxi sont jeunes
False,les chauffeurs de taxi est jeune
True,les chauffeurs de taxi sont petits
False,les chauffeurs de taxi est petit
True,les chauffeurs de taxi sont grands
False,les chauffeurs de taxi est grand
True,les chauffeurs de taxi déménagent
True,les chauffeurs de taxi parlent
False,les chauffeurs de taxi parle
True,les chauffeurs de taxi retournent
True,les danseurs sont vieux
False,les danseurs est vieux
True,les danseurs sont jeunes
False,les danseurs est jeune
True,les danseurs sont petits
False,les danseurs est petit
True,les danseurs sont grands
False,les danseurs est grand
True,les danseurs déménagent
True,les danseurs parlent
False,les danseurs parle
True,les danseurs retournent
True,les architectes sont vieux
False,les architectes est vieux
True,les architectes sont jeunes
False,les architectes est jeune
True,les architectes sont petits
False,les architectes est petit
True,les architectes sont grands
False,les architectes est grand
True,les architectes déménagent
True,les architectes parlent
False,les architectes parle
True,les architectes retournent
True,les chefs sont vieux
False,les chefs est vieux
True,les chefs sont jeunes
False,les chefs est jeune
True,les chefs sont petits
False,les chefs est petit
True,les chefs sont grands
False,les chefs est grand
True,les chefs déménagent
True,les chefs parlent
False,les chefs parle
True,les chefs retournent
True,les patineurs sont vieux
False,les patineurs est vieux
True,les patineurs sont jeunes
False,les patineurs est jeune
True,les patineurs sont petits
False,les patineurs est petit
True,les patineurs sont grands
False,les patineurs est grand
True,les patineurs déménagent
True,les patineurs parlent
False,les patineurs parle
True,les patineurs retournent
True,les parents sont vieux
False,les parents est vieux
True,les parents sont jeunes
False,les parents est jeune
True,les parents sont petits
False,les parents est petit
True,les parents sont grands
False,les parents est grand
True,les parents déménagent
True,les parents parlent
False,les parents parle
True,les parents retournent
True,le garde est vieux
False,le garde sont vieux
True,le garde est jeune
False,le garde sont jeunes
True,le garde est petit
False,le garde sont petits
True,le garde est grand
False,le garde sont grands
False,le garde déménagent
True,le garde parle
False,le garde parlent
False,le garde retournent
True,le ministre est vieux
False,le ministre sont vieux
True,le ministre est jeune
False,le ministre sont jeunes
True,le ministre est petit
False,le ministre sont petits
True,le ministre est grand
False,le ministre sont grands
False,le ministre déménagent
True,le ministre parle
False,le ministre parlent
False,le ministre retournent
True,le cadre est vieux
False,le cadre sont vieux
True,le cadre est jeune
False,le cadre sont jeunes
True,le cadre est petit
False,le cadre sont petits
True,le cadre est grand
False,le cadre sont grands
False,le cadre déménagent
True,le cadre parle
False,le cadre parlent
False,le cadre retournent
True,l' adjoint est vieux
False,l' adjoint sont vieux
True,l' adjoint est jeune
False,l' adjoint sont jeunes
True,l' adjoint est petit
False,l' adjoint sont petits
True,l' adjoint est grand
False,l' adjoint sont grands
False,l' adjoint déménagent
True,l' adjoint parle
False,l' adjoint parlent
False,l' adjoint retournent
True,le chauffeur de taxi est vieux
False,le chauffeur de taxi sont vieux
True,le chauffeur de taxi est jeune
False,le chauffeur de taxi sont jeunes
True,le chauffeur de taxi est petit
False,le chauffeur de taxi sont petits
True,le chauffeur de taxi est grand
False,le chauffeur de taxi sont grands
False,le chauffeur de taxi déménagent
True,le chauffeur de taxi parle
False,le chauffeur de taxi parlent
False,le chauffeur de taxi retournent
True,le danseur est vieux
False,le danseur sont vieux
True,le danseur est jeune
False,le danseur sont jeunes
True,le danseur est petit
False,le danseur sont petits
True,le danseur est grand
False,le danseur sont grands
False,le danseur déménagent
True,le danseur parle
False,le danseur parlent
False,le danseur retournent
True,l' architecte est vieux
False,l' architecte sont vieux
True,l' architecte est jeune
False,l' architecte sont jeunes
True,l' architecte est petit
False,l' architecte sont petits
True,l' architecte est grand
False,l' architecte sont grands
False,l' architecte déménagent
True,l' architecte parle
False,l' architecte parlent
False,l' architecte retournent
True,le chef est vieux
False,le chef sont vieux
True,le chef est jeune
False,le chef sont jeunes
True,le chef est petit
False,le chef sont petits
True,le chef est grand
False,le chef sont grands
False,le chef déménagent
True,le chef parle
False,le chef parlent
False,le chef retournent
True,le patineur est vieux
False,le patineur sont vieux
True,le patineur est jeune
False,le patineur sont jeunes
True,le patineur est petit
False,le patineur sont petits
True,le patineur est grand
False,le patineur sont grands
False,le patineur déménagent
True,le patineur parle
False,le patineur parlent
False,le patineur retournent
True,le parent est vieux
False,le parent sont vieux
True,le parent est jeune
False,le parent sont jeunes
True,le parent est petit
False,le parent sont petits
True,le parent est grand
False,le parent sont grands
False,le parent déménagent
True,le parent parle
False,le parent parlent
False,le parent retournent
